HP-AP	H5LP - A5LP	FF	MHScored	MHSkipped	MAScored	MASkipped	R
-10	-5	-0.6666666666666666	0.5	1.1666666666666667	2.0	0.6666666666666666	-1
-2	-2	0.3333333333333333	1.0	0.8	1.3333333333333333	1.1666666666666667	0
2	0	0.0	1.4	1.0	1.0	1.4285714285714286	0
1	3	0.3333333333333333	1.3333333333333333	1.0	1.3333333333333333	1.6666666666666667	0
6	3	0.6666666666666666	1.6666666666666667	1.1666666666666667	0.3333333333333333	1.3333333333333333	1
2	2	0.3333333333333333	1.0	1.3333333333333333	1.0	1.5	1
-2	-1	0.6666666666666666	1.8333333333333333	1.1666666666666667	2.3333333333333335	1.3333333333333333	1
1	6	0.41666666666666663	1.5	2.0	1.0	1.5	1
-5	-5	-0.3333333333333333	0.6666666666666666	2.3333333333333335	1.5	2.0	-1
-7	-8	-0.5	1.0	1.4285714285714286	1.2857142857142858	0.8571428571428571	-1
-6	-8	-0.25	0.875	1.75	1.8571428571428572	1.0	-1
-5	-1	0.25	1.4285714285714286	1.7142857142857142	2.0	0.8571428571428571	1
-1	-1	0.08333333333333337	1.1428571428571428	1.5714285714285714	1.3333333333333333	0.8333333333333334	-1
9	8	0.75	1.5714285714285714	1.8571428571428572	0.7142857142857143	2.2857142857142856	1
-17	-11	-0.5	0.2857142857142857	1.5714285714285714	2.125	0.625	-1
4	1	0.5	1.7142857142857142	1.4285714285714286	1.2857142857142858	1.7142857142857142	1
2	-1	0.5	2.2857142857142856	1.2857142857142858	1.2857142857142858	1.1428571428571428	1
1	-4	0.08333333333333331	1.0	1.4285714285714286	0.5714285714285714	1.1428571428571428	0
3	3	0.75	1.8571428571428572	1.1428571428571428	1.0	1.0	1
14	11	0.75	2.125	0.625	0.875	1.75	1
-2	-5	0.5	1.875	1.125	2.375	1.25	-1
-1	1	-0.2	1.0	1.375	1.0	1.375	0
-6	-4	0.0	1.25	1.125	1.7777777777777777	1.2222222222222223	-1
-1	-4	0.25	0.8571428571428571	0.8571428571428571	1.25	1.5	0
7	5	0.25	1.1428571428571428	0.7142857142857143	0.25	1.375	0
-2	-5	0.0	1.25	1.25	1.625	1.75	-1
3	2	0.5	1.75	1.0	1.125	1.5	0
11	6	0.75	1.375	1.625	0.75	2.25	1
-8	-6	-0.25	0.625	1.5	2.125	1.125	-1
-2	-2	0.20000000000000007	1.7777777777777777	1.2222222222222223	1.8888888888888888	0.6666666666666666	1
-4	-3	0.0	1.1111111111111112	1.3333333333333333	1.3333333333333333	0.7777777777777778	1
2	9	0.19999999999999996	1.3333333333333333	1.4444444444444444	1.2222222222222223	1.3333333333333333	1
-1	-4	0.39999999999999997	1.1111111111111112	1.4444444444444444	1.3333333333333333	1.5555555555555556	0
1	4	0.35	1.7777777777777777	2.111111111111111	1.375	1.125	-1
-16	-3	-0.4	0.7777777777777778	2.2222222222222223	1.8888888888888888	1.1111111111111112	-1
-8	-2	-0.2	0.2222222222222222	1.2222222222222223	1.1111111111111112	1.0	0
13	8	0.8	2.5555555555555554	1.2222222222222223	0.6666666666666666	1.7777777777777777	1
0	2	0.19999999999999996	2.111111111111111	1.2222222222222223	1.7777777777777777	1.1111111111111112	0
3	1	0.15000000000000002	1.1111111111111112	1.6666666666666667	1.0	1.5555555555555556	1
-4	-2	0.0	1.3333333333333333	0.7777777777777778	1.6	1.4	1
2	-1	0.4	1.1	1.0	1.0	1.3636363636363635	0
14	7	0.4	1.3	1.0	0.8	2.1	0
-1	-4	0.2	1.3	1.3	2.0	1.3	1
13	4	0.8333333333333334	2.1	0.7	1.1	1.6	1
5	2	0.39999999999999997	2.0	1.1	1.7	2.3	1
14	4	0.8	1.9	1.0	0.2	1.3	1
-9	-9	-0.4	0.9	1.5	1.3	1.3	-1
-9	-8	0.19999999999999996	1.3	1.7	2.6	1.2	-1
-7	-5	-0.4	0.7	1.9	1.3	1.6	-1
-3	-5	0.09999999999999998	1.0	1.3636363636363635	1.3	1.0	-1
6	-1	0.6666666666666667	2.090909090909091	0.7272727272727273	1.75	1.0833333333333333	1
4	6	0.2666666666666666	1.4545454545454546	1.1818181818181819	1.2	1.0	1
-10	2	-0.1333333333333333	0.9090909090909091	1.9090909090909092	1.0	1.0909090909090908	1
-16	-7	-0.16666666666666666	0.18181818181818182	1.1818181818181819	2.3636363636363638	1.0909090909090908	0
9	5	0.5	1.9166666666666667	1.0833333333333333	1.2727272727272727	1.7272727272727273	1
15	8	0.6333333333333333	1.5454545454545454	1.2727272727272727	0.8181818181818182	1.4545454545454546	1
0	4	0.26666666666666666	1.0909090909090908	1.4545454545454546	1.1818181818181819	1.2727272727272727	1
10	6	0.5	1.7272727272727273	2.1818181818181817	0.7272727272727273	1.9090909090909092	1
-2	2	0.16666666666666666	1.3636363636363635	1.6363636363636365	2.0	1.3636363636363635	0
-1	-2	0.3333333333333333	1.75	1.0833333333333333	1.9166666666666667	1.0833333333333333	0
3	2	0.5238095238095237	2.25	1.3333333333333333	1.5384615384615385	2.3076923076923075	1
-12	-4	-0.23809523809523808	1.0	1.0769230769230769	2.0833333333333335	0.75	-1
2	1	0.19047619047619047	1.2727272727272727	1.0	1.0833333333333333	1.4166666666666667	0
1	-4	0.0	1.1818181818181819	1.0	1.3333333333333333	1.5833333333333333	0
12	2	0.5	1.3333333333333333	1.1666666666666667	0.8333333333333334	2.0	1
-19	-6	-0.5	0.75	1.9166666666666667	1.5833333333333333	1.25	-1
-3	-5	-0.16666666666666666	0.75	1.6666666666666667	0.5	1.0833333333333333	-1
13	8	1.0	2.4166666666666665	1.0	0.9166666666666666	1.5	1
-9	-11	0.0	1.1666666666666667	1.8333333333333333	1.5833333333333333	1.0833333333333333	-1
2	2	0.2857142857142857	1.0	1.0769230769230769	1.5384615384615385	2.3076923076923075	1
26	12	0.8333333333333334	2.1538461538461537	0.6923076923076923	0.6923076923076923	1.7692307692307692	1
-9	-2	-0.14285714285714285	1.3076923076923077	1.6153846153846154	1.7692307692307692	1.0769230769230769	-1
-1	5	0.4285714285714286	1.6153846153846154	1.0769230769230769	2.3076923076923075	1.0769230769230769	1
10	4	0.42857142857142855	1.0769230769230769	1.4615384615384615	0.7692307692307693	2.0	1
